,IHK
2008-01-31,120.652740641093
2008-02-29,121.199538365915
2008-03-31,122.52643417815
2008-04-30,123.219044629592
2008-05-31,126.339436979243
2008-06-30,82.3185748128939
2008-07-31,83.2809388085809
2008-08-31,83.5871455344813
2008-09-30,83.7694114427553
2008-10-31,83.7475395337625
2008-11-30,83.6892144431148
2008-12-31,83.6090174434742
2009-01-31,83.9589679873604
2009-02-28,84.5130563485135
2009-03-31,83.8277365334031
2009-04-30,82.7633036290826
2009-05-31,83.5652736254884
2009-06-30,83.2226137179332
2009-07-31,84.1047807139796
2009-08-31,84.3964061672181
2009-09-30,85.1983761636239
2009-10-31,86.2482277952825
2009-11-30,85.956602342044
2009-12-31,85.6941394341294
2010-01-31,87.3636951539197
2010-02-28,87.0501977916883
2010-03-31,87.0064539737025
2010-04-30,86.9918727010406
2010-05-31,86.9991633373716
2010-06-30,89.806058324792
2010-07-31,91.6870424981803
2010-08-31,91.0819196827104
2010-09-30,91.9349241334329
2010-10-31,91.920342860771
2010-11-30,93.0066476740844
2010-12-31,94.7126565755295
2011-01-31,96.4332467496366
2011-02-28,96.1270400237362
2011-03-31,93.9544303971095
2011-04-30,92.4817218582551
2011-05-31,92.9191600381128
2011-06-30,93.8013270341592
2011-07-31,94.6834940302057
2011-08-31,95.6531486622236
2011-09-30,96.8196504751776
2011-10-31,96.6446752032345
2011-11-30,96.6811283848893
2011-12-31,97.322704382014
2012-01-31,98.3871372863345
2012-02-29,97.1185665647471
2012-03-31,97.6216204715835
2012-04-30,97.6726549259002
2012-05-31,98.3579747410106
2012-06-30,100.180633823751
2012-07-31,100.494131185983
2012-08-31,100.916988093178
2012-09-30,101.106544637783
2012-10-31,101.1575790921
2012-11-30,100.800337911883
2012-12-31,101.427332636346
2013-01-31,102.907331811531
2013-02-28,103.439548263691
2013-03-31,103.541617172325
2013-04-30,103.461420172684
2013-05-31,104.044671079161
2013-06-30,105.429891982044
2013-07-31,108.856491057596
2013-08-31,110.161514960838
2013-09-30,109.148116510835
2013-10-31,110.09589923386
2013-11-30,109.855308234938
2013-12-31,110.292746414796
2014-01-31,111.962
2014-02-28,111.235
2014-03-31,111.421
2014-04-30,111.534
2014-05-31,111.712
2014-06-30,111.944
2014-07-31,113.419
2014-08-31,113.63
2014-09-30,113.832
2014-10-31,114.444
2014-11-30,116.955
2014-12-31,119.942
2015-01-31,118.916
2015-02-28,117.157
2015-03-31,116.861
2015-04-30,117.187
2015-05-31,118.478
2015-06-30,119.126
2015-07-31,120.97
2015-08-31,121.268
2015-09-30,119.866
2015-10-31,119.9
2015-11-30,120.421
2015-12-31,121.581
2016-01-31,122.134
2016-02-29,122.399
2016-03-31,122.649
2016-04-30,121.032
2016-05-31,121.894
2016-06-30,123.156
2016-07-31,124.563
2016-08-31,124.684
2016-09-30,124.487
2016-10-31,125.887
2016-11-30,126.533
2016-12-31,126.924
2017-01-31,127.314
2017-02-28,125.7
2017-03-31,126.14
2017-04-30,126.861
2017-05-31,127.232
2017-06-30,127.863
2017-07-31,128.265
2017-08-31,128.016
2017-09-30,127.584
2017-10-31,127.718
2017-11-30,128.726
2017-12-31,130.522
2018-01-31,131.625
2018-02-28,130.618
2018-03-31,131.397
2018-04-30,131.673
2018-05-31,131.557
2018-06-30,133.272
2018-07-31,132.379
2018-08-31,132.473
2018-09-30,131.844
2018-10-31,132.955
2018-11-30,133.205
2018-12-31,134.396
2019-01-31,133.822
2019-02-28,133.444
2019-03-31,133.886
2019-04-30,134.684
2019-05-31,135.357
2019-06-30,136.739
2019-07-31,137.345
2019-08-31,136.292
2019-09-30,135.943
2019-10-31,136.053
2019-11-30,135.785
2019-12-31,136.282
2020-01-31,136.273183439755
2020-02-29,137.24153641366
2020-03-31,136.363172126426
2020-04-30,135.515798411662
2020-05-31,135.940020716241
2020-06-30,136.395870750867
2020-07-31,136.284739958883
2020-08-31,136.328485257235
2020-09-30,136.482766406242
2020-10-31,137.505240302681
2020-11-30,138.27136068729
2020-12-31,139.242857896451
2021-01-31,140.158968192018
2021-02-28,139.504853733501
2021-03-31,139.966703058147
2021-04-30,139.494801181965
2021-05-31,140.01609068172
2021-06-30,139.711343668693
2021-07-31,139.486099717601
2021-08-31,138.908072217079
2021-09-30,139.261492924086
2021-10-31,140.185310561642
2021-11-30,140.884759382216
2021-12-31,141.560686995776
2022-01-31,143.201475370901
2022-02-28,142.057061985099
2022-03-31,143.933146862852
2022-04-30,146.090338558354
2022-05-31,147.251636703573
2022-06-30,149.513959901039
2022-07-31,151.413328009274
2022-08-31,149.609319044247
2022-09-30,150.526500234207
2022-10-31,150.124371277451
2022-11-30,149.388009366406
2022-12-31,150.548950546827
2023-01-31,151.68466811243
2023-02-28,151.596170639786
2023-03-31,151.463424430819
2023-04-30,151.596170639786
2023-05-31,152.436896629907
2023-06-30,152.554893260099
2023-07-31,153.071128517192
2023-08-31,152.510644523777
2023-09-30,153.085878095966
2023-10-31,153.292372198802
2023-11-30,154.236345240342
2023-12-31,154.944325021497
2024-01-31,156.22753837484
2024-02-29,156.434032477677
2024-03-31,157.274758467799
2024-04-30,157.555000464506
2024-05-31,157.849992039987
2024-06-30,157.64349793715
2024-07-31,156.345535005033
2024-08-31,156.330785426259
2024-09-30,156.065293008326
